"from","to"
"Agathobacter","Romboutsia"
"Dialister","Phascolarctobacterium"
"Dialister","Allisonella"
"Megamonas","Allisonella"
"Parabacteroides","Coprobacter"
"Parabacteroides","Incertae.Sedis"
"Erysipelotrichaceae.UCG.003","Subdoligranulum"
"Erysipelotrichaceae.UCG.003","Faecalibacterium"
"Barnesiella","Phascolarctobacterium"
"Barnesiella","CAG.352"
"Barnesiella","Akkermansia"
"Romboutsia","Lachnospiraceae.FCS020.group"
"Blautia","X.Eubacterium..hallii.group"
"Blautia","X.Eubacterium..brachy.group"
"Lachnospiraceae.NK4A136.group","Sutterella"
"Lachnospiraceae.NK4A136.group","Coprobacter"
"Fusicatenibacter","Faecalibacterium"
"Fusicatenibacter","Lachnospiraceae.UCG.004"
"Fusicatenibacter","Lacticaseibacillus"
"Subdoligranulum","Campylobacter"
"Streptococcus","Lactobacillus"
"CAG.56","Allisonella"
"Acidaminococcus","Bifidobacterium"
"X.Order..Rhodospirillales","Subdoligranulum"
"X.Order..Rhodospirillales","X.Family..Barnesiellaceae"
"X.Order..Rhodospirillales","Slackia"
"Sutterella","Paraprevotella"
"Parasutterella","Sutterella"
"X.Eubacterium..eligens.group","CAG.56"
"X.Order..Clostridia.UCG.014","Coprobacter"
"X.Order..Clostridia.UCG.014","Campylobacter"
"Odoribacter","Peptoniphilus"
"Monoglobus","Slackia"
"Alloprevotella","Holdemanella"
"Turicibacter","X.Class..Alphaproteobacteria"
"Terrisporobacter","Bergeyella"
"Enterococcus","Lactobacillus"
"Oscillibacter","X.Eubacterium..nodatum.group"
"Oscillibacter","Shuttleworthia"
"Collinsella","Lactococcus"
"CAG.352","Dielma"
"X.Eubacterium..xylanophilum.group","Lactococcus"
"Lachnospiraceae.UCG.001","Prevotella"
"Lachnospiraceae.UCG.001","X.Order..Absconditabacteriales..SR1."
"Prevotellaceae.NK3B31.group","Lachnospiraceae.UCG.003"
"Prevotellaceae.NK3B31.group","GCA.900066575"
"Prevotellaceae.NK3B31.group","X.Phylum..Proteobacteria"
"NK4A214.group","CAG.352"
"NK4A214.group","X.Order..Coriobacteriales"
"UCG.005","Marvinbryantia"
"Coprococcus","Christensenellaceae.R.7.group"
"Coprococcus","Ruminiclostridium"
"Holdemanella","Prevotella"
"X.Family..Eggerthellaceae","Christensenellaceae.R.7.group"
"X.Family..Eggerthellaceae","X.Family..Barnesiellaceae"
"X.Family..Eggerthellaceae","X.Phylum..Proteobacteria"
"Family.XIII.AD3011.group","Merdibacter"
"Family.XIII.AD3011.group","Shuttleworthia"
"X.Ruminococcus..gnavus.group","X.Ruminococcus..torques.group"
"Negativibacillus","Fusobacterium"
"Negativibacillus","Incertae.Sedis"
"Family.XIII.UCG.001","X.Family...Eubacterium..coprostanoligenes.group"
"X.Eubacterium..ventriosum.group","Romboutsia"
"Butyricicoccus","Adlercreutzia"
"Bilophila","Alistipes"
"Bilophila","X.Eubacterium..nodatum.group"
"X.Family..Ruminococcaceae","Akkermansia"
"X.Family..Ruminococcaceae","Defluviitaleaceae.UCG.011"
"Tyzzerella","Lachnospiraceae.UCG.004"
"Tyzzerella","Bergeyella"
"Tuzzerella","X.Ruminococcus..torques.group"
"Tuzzerella","Fusobacterium"
"Tuzzerella","Paludicola"
"Haemophilus","UC5.1.2E3"
"Haemophilus","Anaerofilum"
"X.Family..Barnesiellaceae","Lachnospiraceae.UCG.003"
"Holdemania","X.Ruminococcus..torques.group"
"X.Family..Erysipelotrichaceae","Olsenella"
"X.Family..Erysipelotrichaceae","Lachnospiraceae.NC2004.group"
"X.Order..RF39","Olsenella"
"X.Clostridium..innocuum.group","Erysipelotrichaceae.UCG.007"
"Eisenbergiella","Intestinimonas"
"Eisenbergiella","DTU089"
"Succinivibrio","Holdemanella"
"Sellimonas","Erysipelatoclostridium"
"Sellimonas","Faecalitalea"
"Candidatus.Stoquefichus","Faecalitalea"
"Candidatus.Stoquefichus","Paludicola"
"Frisingicoccus","Faecalitalea"
"Catenibacterium","Prevotella"
"Catenibacterium","Holdemanella"
"UCG.008","X.Family..Rikenellaceae"
"Marvinbryantia","X.Family..UCG.010"
"Butyricimonas","UC5.1.2E3"
"Lachnospiraceae.UCG.008","GCA.900066575"
"Oxalobacter","X.Order..Bacteroidales"
"UCG.009","X.Family...Eubacterium..coprostanoligenes.group"
"UCG.009","Defluviitaleaceae.UCG.011"
"UCG.004","Lachnospiraceae.AC2044.group"
"Oscillospira","X.Order..Bacteroidales"
"Porphyromonas","X.Order..Absconditabacteriales..SR1."
"Prevotellaceae.UCG.003","Lachnospiraceae.UCG.009"
"Anaerotruncus","Intestinimonas"
"Anaerotruncus","DTU089"
"Latilactobacillus","Acidaminococcus"
"Latilactobacillus","Leuconostoc"
"X.Family..P5D1.392","X.Eubacterium..brachy.group"
"Merdibacter","Erysipelatoclostridium"
"Peptococcus","Faecalicoccus"
"Peptococcus","Lachnospiraceae.NC2004.group"
"Citrobacter","Lachnospiraceae.NC2004.group"
"Senegalimassilia","Lacticaseibacillus"
"X.Family...Clostridium..methylpentosum.group","Alistipes"
"X.Family...Clostridium..methylpentosum.group","Ruminiclostridium"
"X.Family..UCG.011","Citrobacter"
"TM7x","CAG.56"
"TM7x","Fusobacterium"
"Howardella","Lachnospiraceae.FCS020.group"
"Weissella","Akkermansia"
"Weissella","X.Class..Alphaproteobacteria"
"X.Family..Peptococcaceae","X.Family..UCG.010"
"Enterorhabdus","Marvinbryantia"
"Enterorhabdus","Ruminiclostridium"
"Fournierella","Lachnospiraceae.UCG.009"
"Granulicatella","Fusobacterium"
"Granulicatella","Slackia"
"Leuconostoc","Acidaminococcus"
"Acetitomaculum","Lachnospiraceae.AC2044.group"
"Anaerostignum","Leuconostoc"
"X.Eubacterium..fissicatena.group","Anaerofilum"
"X.Family..Enterobacteriaceae","Faecalicoccus"
"X.Order..Absconditabacteriales..SR1.","Lacticaseibacillus"
"Leptotrichia","Ruminiclostridium"
"Candidatus.Soleaferrea","X.Ruminococcus..torques.group"
"Candidatus.Soleaferrea","X.Eubacterium..nodatum.group"
"X.Family..vadinBE97","X.Family..UCG.010"
"X.Class..Bacilli","UC5.1.2E3"
"Catenibacillus","Adlercreutzia"
"Rikenella","Lachnospiraceae.UCG.009"
"Finegoldia","Peptoniphilus"
"Atopobium","Erysipelotrichaceae.UCG.007"
"X.Anaerorhabdus..furcosa.group","X.Order..Coriobacteriales"
"Sneathia","Lachnospiraceae.UCG.009"
"X.Phylum..Firmicutes","Faecalicoccus"
"Centipeda","Campylobacter"
"Lacticaseibacillus","X.Eubacterium..hallii.group"
"X.Order..Chloroplast","Fusobacterium"
"CHKCI002","Merdibacter"
"Capnocytophaga","Bergeyella"
"Acetanaerobacterium","Paraprevotella"
"X.Order..Saccharimonadales","X.Family...Eubacterium..coprostanoligenes.group"
"X.Order..Saccharimonadales","Olsenella"
"X.Family..Puniceicoccaceae","Sutterella"
"X.Family..Puniceicoccaceae","X.Phylum..Proteobacteria"
"X.Family..Peptostreptococcaceae","X.Family..Rikenellaceae"
"X.Family..Rikenellaceae","Citrobacter"
"Pseudoflavonifractor","Intestinimonas"
